🕘️更新时间,#genre#
2026-07-07 23:22:26,http://192.168.88.113:5180/hls/127653391490871129.m3u8

⚽ Sports,#genre#
CCTV-16,http://192.168.88.113:5180/hls/127653391490871129.m3u8
CCTV-8K,http://192.168.88.113:5180/hls/-4873686301328301245.m3u8

🏆 Football,#genre#

📺 International Sports,#genre#

🌏 Asian Sports,#genre#
MCOT HD,http://192.168.88.113:5180/hls/1227765013332505224.m3u8

📺 Sports News,#genre#
CCTV-13,http://192.168.88.113:5180/hls/7528510823485828771.m3u8

💪 Fighting & Wrestling,#genre#

♻️未匹配频道,#genre#
CCTV-1,http://192.168.88.113:5180/hls/-1467620504805192478.m3u8
CCTV-1,http://192.168.88.113:5180/hls/-5253135079189694591.m3u8
CCTV-1,http://192.168.88.113:5180/hls/-5233020977162498591.m3u8
CCTV-1,http://192.168.88.113:5180/hls/8250142253531326902.m3u8
CCTV-2,http://192.168.88.113:5180/hls/-687864793382695610.m3u8
CCTV-3,http://192.168.88.113:5180/hls/8188196418777608190.m3u8
CCTV-4,http://192.168.88.113:5180/hls/8058922726484709511.m3u8
CCTV-7,http://192.168.88.113:5180/hls/-4598054809644574870.m3u8
CCTV-8,http://192.168.88.113:5180/hls/-868074621345041532.m3u8
CCTV-8,http://192.168.88.113:5180/hls/-1779494001878953229.m3u8
CCTV-Culture of Quality (1080p),http://192.168.88.113:5180/hls/-8872739738117225247.m3u8
CCTV-Health (1080p),http://192.168.88.113:5180/hls/-7822043785017608646.m3u8
CCTV-Nostalgia Theater (1080p),http://192.168.88.113:5180/hls/-8190859226099365084.m3u8
CCTV-Storm Music (1080p),http://192.168.88.113:5180/hls/-6464574922899622349.m3u8
CCTV-Storm Theater (1080p),http://192.168.88.113:5180/hls/-4659979659042723888.m3u8
CCTV-The First Theater (1080p),http://192.168.88.113:5180/hls/7910595036663647186.m3u8
CCTV-Weapon & Technology (1080p),http://192.168.88.113:5180/hls/8422860810056134031.m3u8
CCTV-Women's Fashion (1080p),http://192.168.88.113:5180/hls/7001992304566884006.m3u8
CCTV-World Geography (1080p),http://192.168.88.113:5180/hls/8820602437936512040.m3u8
CGTN (1080p),http://192.168.88.113:5180/hls/-5187664302496124569.m3u8
CGTN (1080p),http://192.168.88.113:5180/hls/-4240395842123724448.m3u8
CGTN Arabic (1080p) [Not 24/7],http://192.168.88.113:5180/hls/7779499363591263238.m3u8
CGTN Español (1080p),http://192.168.88.113:5180/hls/7560991039850696564.m3u8
CGTN Français (1080p),http://192.168.88.113:5180/hls/5889358087268964621.m3u8
CGTN Русский (1080p),http://192.168.88.113:5180/hls/-908783476476988085.m3u8
中央电视塔东,http://192.168.88.113:5180/hls/-8292225562144870060.m3u8
中央电视塔南,http://192.168.88.113:5180/hls/-206880537981443762.m3u8
CETV-1,http://192.168.88.113:5180/hls/-4315583744200918344.m3u8
CETV-1,http://192.168.88.113:5180/hls/2356937514997302280.m3u8
CETV-1,http://192.168.88.113:5180/hls/-4307775682075311869.m3u8
中央电视台中塔东,http://192.168.88.113:5180/hls/6382053047058266416.m3u8
大湾区卫视,http://192.168.88.113:5180/hls/-9185914407811083379.m3u8
人间卫视,http://192.168.88.113:5180/hls/-5265706935986364538.m3u8
余姚新闻综合 (576p),http://192.168.88.113:5180/hls/6863709345617103279.m3u8
农安新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/8508049956839886250.m3u8
吉林市新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/2234996128430332864.m3u8
四平新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/-4521703549461486267.m3u8
延边新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/-5217578752042371150.m3u8
松原新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/8933529870632054285.m3u8
辽源新闻综合 [Geo-blocked],http://192.168.88.113:5180/hls/-7913730031849269282.m3u8
通化新闻 [Geo-blocked],http://192.168.88.113:5180/hls/-1738994073047078321.m3u8
靖江新闻綜合 (480p) [Not 24/7],http://192.168.88.113:5180/hls/5103331589753298728.m3u8
三明新闻综合,http://192.168.88.113:5180/hls/5231036011243332894.m3u8
云和新闻综合,http://192.168.88.113:5180/hls/-1241828925328330382.m3u8
余姚新闻综合,http://192.168.88.113:5180/hls/-8936709641451661356.m3u8
兰溪新闻综合,http://192.168.88.113:5180/hls/-7386202663086584194.m3u8
南京新闻综合,http://192.168.88.113:5180/hls/-527878141628528379.m3u8
哈尔滨新闻综合,http://192.168.88.113:5180/hls/2818020927713895762.m3u8
固镇新闻,http://192.168.88.113:5180/hls/-5793045292269616255.m3u8
庆元新闻综合,http://192.168.88.113:5180/hls/5995748673765041170.m3u8
开化新闻综合,http://192.168.88.113:5180/hls/-1155799712357127511.m3u8
文成新闻综合,http://192.168.88.113:5180/hls/-5151736338254989973.m3u8
新昌新闻综合,http://192.168.88.113:5180/hls/919382812363649005.m3u8
旺苍新闻综合,http://192.168.88.113:5180/hls/6362763164037069460.m3u8
普陀新闻综合,http://192.168.88.113:5180/hls/-3120706740789507859.m3u8
松潘新闻综合,http://192.168.88.113:5180/hls/6362763164037069460.m3u8
