🕘️更新时间,#genre#
2026-07-08 08:45:30,http://192.168.88.16:8080/hls/9138796087415308307.m3u8

⚽ Sports,#genre#
CCTV-5,http://192.168.88.16:8080/hls/9138796087415308307.m3u8
CCTV-5,http://192.168.88.16:8080/hls/-117459196688050932.m3u8
CCTV-5+,http://192.168.88.16:8080/hls/4565391248945486667.m3u8
CCTV-16,http://192.168.88.16:8080/hls/-8252381314111469462.m3u8
CCTV-8K,http://192.168.88.16:8080/hls/8590855349192933680.m3u8
CCTV-8K,http://192.168.88.16:8080/hls/-7638301484582709350.m3u8
CCTV-4K,http://192.168.88.16:8080/hls/-299049811958173887.m3u8
CCTV-Storm Football,http://192.168.88.16:8080/hls/-760034458981091183.m3u8
CCTV-Golf & Tennis,http://192.168.88.16:8080/hls/-7700744011966887170.m3u8
CCTV-Billiards,http://192.168.88.16:8080/hls/8169907523925721997.m3u8

🏆 Football,#genre#
FIFA+,http://192.168.88.16:8080/hls/1820527021332690690.m3u8
FIFA+,http://192.168.88.16:8080/hls/-3854785886689970768.m3u8
LaLiga TV,http://192.168.88.16:8080/hls/5133342881001518040.m3u8

📺 International Sports,#genre#
beIN Sports USA,http://192.168.88.16:8080/hls/6141465335306096796.m3u8
beIN SPORTS XTRA,http://192.168.88.16:8080/hls/-2570611183118767868.m3u8
NBA TV,http://192.168.88.16:8080/hls/4775353653016145847.m3u8
NFL Network,http://192.168.88.16:8080/hls/2336772665217743824.m3u8
Fox Sports 1,http://192.168.88.16:8080/hls/-1430990564948355208.m3u8
Willow Sports,http://192.168.88.16:8080/hls/-4621669116822055929.m3u8
Willow Sports,http://192.168.88.16:8080/hls/5690962930924299511.m3u8
Win Sports,http://192.168.88.16:8080/hls/5964415332868525314.m3u8
GolfPass,http://192.168.88.16:8080/hls/-6234182809800691317.m3u8
Women's Sports Network,http://192.168.88.16:8080/hls/-5029009814729088315.m3u8
Women's Sports Network,http://192.168.88.16:8080/hls/9098535374290459053.m3u8
World of Freesports,http://192.168.88.16:8080/hls/2959537164080869778.m3u8
World of Freesports,http://192.168.88.16:8080/hls/-6446612964228943789.m3u8

🌏 Asian Sports,#genre#
Thairath TV,http://192.168.88.16:8080/hls/1363467466475336312.m3u8
Channel 8,http://192.168.88.16:8080/hls/7965408823198196627.m3u8
Channel 8,http://192.168.88.16:8080/hls/5655059679519515510.m3u8
MCOT HD,http://192.168.88.16:8080/hls/-3578791847742155340.m3u8
MCOT HD,http://192.168.88.16:8080/hls/6980217646406050588.m3u8

📺 Sports News,#genre#
CCTV-13,http://192.168.88.16:8080/hls/-4213189137926574126.m3u8
CCTV-13,http://192.168.88.16:8080/hls/6803611588898403089.m3u8
CGTN Documentary,http://192.168.88.16:8080/hls/-6029603114324948155.m3u8
NHK World-Japan,http://192.168.88.16:8080/hls/2871448183764568497.m3u8

💪 Fighting & Wrestling,#genre#
WWE Superstar Central,http://192.168.88.16:8080/hls/676008282841877427.m3u8
WWE Superstar Central,http://192.168.88.16:8080/hls/-2203472200905465582.m3u8
TNA Wrestling,http://192.168.88.16:8080/hls/4516828069653641077.m3u8
DAZN Combat,http://192.168.88.16:8080/hls/2435652301332630805.m3u8

📺 Chinese TV,#genre#
CCTV-1,http://192.168.88.16:8080/hls/5408888544451348064.m3u8
CCTV-1,http://192.168.88.16:8080/hls/1784654183867079560.m3u8
CCTV-1,http://192.168.88.16:8080/hls/7550882262428789495.m3u8
CCTV-1,http://192.168.88.16:8080/hls/2914446746556719598.m3u8
CCTV-1,http://192.168.88.16:8080/hls/2882270290616357107.m3u8
CCTV-2,http://192.168.88.16:8080/hls/6452143415994996706.m3u8
CCTV-3,http://192.168.88.16:8080/hls/-2691225271021797308.m3u8
CCTV-4,http://192.168.88.16:8080/hls/-2521980269343960776.m3u8
