🕘️更新时间,#genre#
2026-07-08 14:42:34,http://198.204.228.26/live/cctv5p.m3u8

⚽ Sports,#genre#
CCTV-5,http://198.204.228.26/live/cctv5p.m3u8
CCTV-5,http://69.30.245.50/live/cctv5.m3u8
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CCTV-8K,http://198.204.240.250:82/live/cctv8k.m3u8
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-Storm Football,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV-Golf & Tennis,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV-Billiards,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub

🏆 Football,#genre#
FIFA+,https://d2w9q46ikgrcwx.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-of5cbk3sav3w5/v1/sysdata_s_p_a_fifa_7/samsungheadend_us/latest/main/hls/playlist.m3u8
FIFA+,https://d2w9q46ikgrcwx.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-of5cbk3sav3w5/88fc28a8-62ec-492a-9f34-8b52fd57f5d1/2.m3u8
LaLiga TV,http://162.19.255.233:8080/play/UNbAl57p9hXZClOu56FCTZID4SFOqZLZ81NguVP-JxM/m3u8

📺 International Sports,#genre#
beIN Sports USA,http://23.237.104.106:8080/USA_BEIN/index.m3u8
beIN SPORTS XTRA,https://dc1644a9jazgj.cloudfront.net/beIN_Sports_Xtra_Espanol.m3u8
NBA TV,http://user.scalecdn.co:8080/live/54706135/09221986/3092.m3u8
NFL Network,http://206.212.244.63/196/index.m3u8
Fox Sports 1,https://streamvidex.qzz.io/videx/fox1usa/index.m3u8
Willow Sports,https://d36r8jifhgsk5j.cloudfront.net/Willow_TV.m3u8
Willow Sports,https://d36r8jifhgsk5j.cloudfront.net/Willow_TV1080p.m3u8
Win Sports,http://138.121.15.230:9002/WIN-SPORT/index.m3u8
GolfPass,https://d2icntm6fhxrry.cloudfront.net/master.m3u8
Women's Sports Network,https://d39accvx65hq9o.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-ngwzz9m41tnrd/ea1fdc6f-3d1d-481b-9a7d-b9944f86e3f1/3.m3u8
Women's Sports Network,https://d39accvx65hq9o.cloudfront.net/Womens_Sports_Network.m3u8
World of Freesports,https://mainstreammedia-worldoffreesportsintl-rakuten.amagi.tv/playlist.m3u8
World of Freesports,https://mainstreammedia-worldoffreesportsintl-rakuten.amagi.tv/hls/amagi_hls_data_rakutenAA-mainstreammediafreesportsintl-rakuten/CDN/master.m3u8

🌏 Asian Sports,#genre#
Thairath TV,https://lb1-live-mv.v2h-cdn.com/hls/ffaf/thairath/thairath.m3u8
Channel 8,https://app.viloud.tv/hls/channel/57148804a268f59e0c1af0c1b67a2f7e.m3u8
Channel 8,https://lb1-live-mv.v2h-cdn.com/hls/ffbe/jvcxf/jvcxf.m3u8
